event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_45||1233,evt_45,same_department,24,10,0.4583333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_460||2051,evt_460,same_section,9,3,0.7777777777777778,TRUE,FALSE,FALSE,candidate_missing_salary
evt_460||2071,evt_460,same_department,36,5,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_460||8321,evt_460,same_department,3,1,1,TRUE,TRUE,TRUE,usable_salary
evt_461||2051,evt_461,same_section,9,5,0.7777777777777778,TRUE,FALSE,FALSE,candidate_missing_salary
evt_461||2071,evt_461,same_department,36,7,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_461||7782,evt_461,different_department,26,1,0.46153846153846156,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_461||8321,evt_461,same_department,3,1,1,TRUE,TRUE,TRUE,usable_salary
evt_46||1233,evt_46,same_department,24,1,0.4583333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_473||1642,evt_473,different_department,24,1,0.25,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_473||6824,evt_473,different_department,7,7,0.8571428571428571,TRUE,FALSE,FALSE,candidate_missing_salary
evt_475||1919,evt_475,different_department,15,1,0.5333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_475||2213,evt_475,same_department,6,2,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_476||1233,evt_476,different_department,24,1,0.4583333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_476||2213,evt_476,same_department,6,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_476||7525,evt_476,different_department,12,1,0.08333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_478||1478,evt_478,same_section,14,2,0.35714285714285715,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_479||1896,evt_479,same_section,15,2,0.4,TRUE,FALSE,FALSE,candidate_missing_salary
evt_47||8905,evt_47,different_department,34,1,0.4411764705882353,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_480||1478,evt_480,same_section,14,1,0.35714285714285715,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_481||1896,evt_481,same_section,15,2,0.4,TRUE,FALSE,FALSE,candidate_missing_salary
evt_488||1278,evt_488,same_section,18,2,0.5555555555555556,TRUE,FALSE,FALSE,candidate_missing_salary
evt_488||1538,evt_488,different_department,4,2,0.75,TRUE,FALSE,FALSE,candidate_missing_salary
evt_488||8882,evt_488,different_department,2,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_489||1278,evt_489,same_section,18,2,0.5555555555555556,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_489||2033,evt_489,same_department,4,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_489||6143,evt_489,same_department,3,1,0.6666666666666666,TRUE,FALSE,FALSE,candidate_missing_salary
evt_489||7506,evt_489,different_department,40,1,0.425,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_489||8490,evt_489,different_department,27,1,0.2222222222222222,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_491||6701,evt_491,different_department,30,1,0.16666666666666666,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_491||8358,evt_491,different_department,18,1,0.5555555555555556,TRUE,FALSE,FALSE,candidate_missing_salary
evt_492||8594,evt_492,different_department,5,1,0.4,TRUE,FALSE,FALSE,candidate_missing_salary
evt_497||1761,evt_497,same_section,3,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_498||1317,evt_498,same_section,13,3,0.3076923076923077,TRUE,FALSE,FALSE,candidate_missing_salary
evt_498||8358,evt_498,same_department,18,1,0.5555555555555556,TRUE,FALSE,FALSE,candidate_missing_salary
evt_499||1317,evt_499,same_section,13,2,0.3076923076923077,TRUE,FALSE,FALSE,candidate_missing_salary
