event_origin_id,event_id,origin_office_id,chosen_distance,n_candidates,n_selected,n_exact_pos,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable,usable_salary,drop_reason,drop_reason_salary
evt_380||1193,evt_380,1193,same_department,23,1,7,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_380||2071,evt_380,2071,same_department,44,1,8,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_380||2183,evt_380,2183,same_department,83,1,7,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_380||7836,evt_380,7836,same_department,1,1,1,0,FALSE,FALSE,FALSE,FALSE,degenerate_choice_set,degenerate_choice_set
evt_381||1193,evt_381,1193,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_381||2143,evt_381,2143,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_381||2183,evt_381,2183,same_department,83,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_381||8164,evt_381,8164,same_department,21,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_382||1193,evt_382,1193,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_385||2123,evt_385,2123,same_department,14,0,2,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_386||2123,evt_386,2123,same_department,14,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_386||2183,evt_386,2183,same_department,83,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_387||2123,evt_387,2123,same_department,14,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_389||1130,evt_389,1130,same_department,15,4,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_390||1130,evt_390,1130,same_department,15,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_390||6701,evt_390,6701,same_department,32,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_391||1130,evt_391,1130,same_department,15,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_394||2159,evt_394,2159,same_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_395||2158,evt_395,2158,same_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_396||2158,evt_396,2158,same_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_396||2159,evt_396,2159,same_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_399||2183,evt_399,2183,different_department,83,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_399||7506,evt_399,7506,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_399||7748,evt_399,7748,different_department,5,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_399||8358,evt_399,8358,same_department,61,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_402||1896,evt_402,1896,different_department,28,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_404||8690,evt_404,8690,different_department,19,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_405||6650,evt_405,6650,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_406||8358,evt_406,8358,different_department,61,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_407||1233,evt_407,1233,same_department,24,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_407||1555,evt_407,1555,same_department,37,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_407||2071,evt_407,2071,same_department,44,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_407||8164,evt_407,8164,same_department,21,3,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_407||8358,evt_407,8358,different_department,61,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_408||1193,evt_408,1193,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_408||2072,evt_408,2072,different_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_40||1642,evt_40,1642,same_department,29,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_40||1972,evt_40,1972,different_department,3,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_40||6328,evt_40,6328,different_department,27,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
