year_num,gov_level,office_id,office,office_norm,ward_current,historical_ward_guess,ward_assignment_method,ward_jp,historical_wards,slug,distance_to_yurakucho_km,central_hq,ward_guess_jp,ward_centroid_lat,ward_centroid_lon
1941,TokyoFu,1830,○砂町診療所,砂町診療所,Koto,Fukagawa/Joto,name_keyword,江東区,Fukagawa; Joto,koto-ku,4.856300520926465,0,江東区,35.6728,139.8174
1941,TokyoFu,1836,○社會教育課,社会教育課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1839,○神津島診療所,神津島診療所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1918,○經理係,経理係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1919,○經理課,経理課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1948,○職業補導所,職業補導所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1949,○職業課,職業課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1973,○芝浦出張所,芝浦出張所,Minato,Shiba/Azabu/Akasaka,name_keyword,港区,Shiba; Azabu; Akasaka,minato-ku,2.1643816912263985,0,港区,35.6581,139.7516
1941,TokyoFu,1985,○荏原診療所,荏原診療所,Shinagawa,Shinagawa/Ebara,name_keyword,品川区,Shinagawa; Ebara,shinagawa-ku,7.911354355149989,0,品川区,35.6092,139.7301
1941,TokyoFu,2013,○蒲田出張所,蒲田出張所,Ota,Omori/Kamata,name_keyword,大田区,Omori; Kamata,ota-ku,13.333925749206644,0,大田区,35.5614,139.7161
1941,TokyoFu,2041,○西多摩方面事務所,西多摩方面事務所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2044,○西巣鴨出張所,西巣鴨出張所,Toshima,Toshima,name_keyword,豊島区,Toshima,toshima-ku,7.106416278614851,0,豊島区,35.7261,139.7166
1941,TokyoFu,2045,○西巣鴨診療所,西巣鴨診療所,Toshima,Toshima,name_keyword,豊島区,Toshima,toshima-ku,7.106416278614851,0,豊島区,35.7261,139.7166
1941,TokyoFu,2050,○視學課,視学課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,2071,○調査課,調査課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,2096,○負擔金係,負擔金係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,2125,○軍事援護課,軍事援護課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,2131,○農林産業檢査所大島出張所,農林産業検査所大島出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2132,○農林産物檢査所,農林産物検査所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2133,○農林産物檢査所府中出張所,農林産物検査所府中出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2134,○農林産物檢査所板橋出張所,農林産物検査所板橋出張所,Itabashi,Itabashi,name_keyword,板橋区,Itabashi,itabashi-ku,9.81289847875712,0,板橋区,35.7513,139.7093
1941,TokyoFu,2135,○農林産物檢査所深川出張所,農林産物検査所深川出張所,Koto,Fukagawa/Joto,name_keyword,江東区,Fukagawa; Joto,koto-ku,4.856300520926465,0,江東区,35.6728,139.8174
1941,TokyoFu,2136,○農林産物檢査所青梅出張所,農林産物検査所青梅出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2147,○道路課,道路課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,2165,○醫療救護班,医療救護班,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2234,○龜戸出張所,龜戸出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2240,。市町村・小學校,。市町村・小学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2276,〇八王子支所,八王子支所,Kita,Takinogawa/Oji,name_keyword,北区,Takinogawa; Oji,kita-ku,9.078380214757798,0,北区,35.7528,139.7336
1941,TokyoFu,2493,〓上野税務出張所,上野税務出張所,Taito,Shitaya/Asakusa,name_keyword,台東区,Shitaya; Asakusa,taito-ku,4.449000431186642,0,台東区,35.7126,139.7802
1941,TokyoFu,2724,〓傷痍軍人職業補導所,傷痍軍人職業補導所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2754,〓八王子土木出張所,八王子土木出張所,Kita,Takinogawa/Oji,name_keyword,北区,Takinogawa; Oji,kita-ku,9.078380214757798,0,北区,35.7528,139.7336
